orientation,c_mask,c_target
0,0,-31.6666666666667
0,-46.0887949260042,-33.3333333333333
0,-42.0718816067653,-34.320987654321
0,-37.9492600422833,-37.2222222222222
0,-33.9323467230444,-33.7037037037037
0,-30.1268498942918,-32.7160493827161
0,-26.0042283298097,-29.5061728395062
0,-21.8816067653277,-23.5185185185185
0,-17.7589852008457,-21.6049382716049
0,-13.8477801268499,-18.9506172839506
0,-9.72515856236787,-15.679012345679
90,-46.0887949260042,-32.962962962963
90,-38.1606765327696,-31.5432098765432
90,-34.1437632135307,-31.0493827160494
90,-30.0211416490486,-30.6172839506173
90,-25.7928118393235,-29.0123456790123
90,-21.8816067653277,-26.7283950617284
90,-17.9704016913319,-25.2469135802469
90,-13.8477801268499,-23.0246913580247
90,-9.830866807611,-20.1851851851852
45,-45.9770114942529,-33.0769230769231
45,-42.0689655172414,-32.6696832579185
45,-37.9310344827586,-33.0090497737557
45,-34.0229885057471,-31.0407239819005
45,-30,-29.2760180995475
45,-25.9770114942529,-26.8325791855204
45,-22.0689655172414,-23.5746606334842
45,-17.9310344827586,-21.4027149321267
45,-14.0229885057471,-19.0950226244344
45,-9.88505747126437,-17.1945701357466
